code,nom_commune,valeur_fonciere
1118,Corbonod,246919.94345549739
1121,Corlier,107600.0
1123,Cormoranche-sur-Saône,257849.38888888888
1124,Cormoz,167590.0070921986
1125,Corveissiat,141854.72857142857
1127,Courmangoux,204534.38088235294
1128,Courtes,213725.0
1129,Crans,251227.63157894736
1130,Bresse Vallons,239517.65953125
1133,Cressin-Rochefort,227185.13513513515
1134,Crottet,285227.8430962343
1135,Crozet,619032.2379896907
1136,Cruzilles-lès-Mépillat,291141.94444444444
1138,Culoz,177088.23714285714
1139,Curciat-Dongalon,129301.61923076924
1140,Curtafond,268511.98214285716
1141,Cuzieu,244778.2
1142,Dagneux,664001.3152950559
1143,Divonne-les-Bains,1126999.5041322815
1145,Dompierre-sur-Veyle,233769.96923076923
1146,Dompierre-sur-Chalaronne,315155.92307692306
1147,Domsure,156955.08107142855
1148,Dortan,460670.6878980892
1149,Douvres,240037.18181818182
1150,Drom,196133.75
1151,Druillat,276710.105
1152,Échallon,248564.00858208953
1153,Échenevex,808643.6755813954
1155,Évosges,149535.7894736842
1156,Faramans,381260.1234567901
1157,Fareins,361114.4495333333
1158,Farges,398137.6251572327
1159,Feillens,248907.84607669615
1160,Ferney-Voltaire,440842.1946564015
1162,Flaxieu,147500.0
1163,Foissiat,192764.82300884955
1165,Francheleins,315201.4458252427
1166,Frans,313228.06949748745
1167,Garnerans,331845.05263157893
1169,Genouilleux,234143.11864406778
1170,Béard-Géovreissiat,251370.48322580647
1171,Géovreisset,367936.5168539326
1173,Gex,982003.9596966883
1174,Giron,338674.1935483871
1175,Gorrevod,234435.95140845072
1177,Grand-Corent,161023.09807692308
1179,Grièges,241875.1402714932
1180,Grilly,848178.7131428572
1181,Groissiat,226867.11627906977
1183,Guéreins,346546.2841201717
1184,Hautecourt-Romanèche,199088.42028985507
1185,Plateau d'Hauteville,191175.59284742468
1187,Haut Valromey,199818.38285714286
1188,Illiat,297956.36285714287
1189,Injoux-Génissiat,254028.51086956522
1190,Innimond,101223.89944444444
1191,Izenave,148946.15384615384
1192,Izernore,227203.3790066225
1193,Izieu,245852.9411764706
1194,Jassans-Riottier,399683.2193277311
1195,Jasseron,216051.49555555556
1196,Jayat,232602.09268292686
1197,Journans,178800.55777777775
1198,Joyeux,311928.5714285714
1199,Jujurieux,151039.86696793002
1200,Labalme,125858.03571428571
1202,Lagnieu,206106.17584158416
1203,Laiz,267122.3578231293
1204,Le Poizat-Lalleyriat,204838.61111111112
1206,Lantenay,125746.6
1207,Lapeyrouse,452445.89743589744
1208,Lavours,156432.63157894736
1209,Léaz,264370.4349090909
1210,Lélex,98673.7747112462
1211,Lent,261653.64788732395
1212,Lescheroux,164261.97709923665
1213,Leyment,224691.50024096385
1214,Leyssard,153731.88391304348
1215,Surjoux-Lhopital,220190.92307692306
1216,Lhuis,208776.38255033558
1219,Lompnas,156627.25454545455
1224,Loyettes,407979.6834241245
1225,Lurcy,301173.1145238095
1227,Magnieu,171658.7569230769
1228,Maillat,229393.48133333333
1229,Malafretaz,237029.24844720497
1230,Mantenay-Montlin,171331.77358490566
1231,Manziat,246017.99889570553
1232,Marboz,262371.8072463768
1233,Marchamp,197587.85363636364
1234,Marignieu,142546.66666666666
1235,Marlieux,318555.4846575342
1236,Marsonnas,207348.5174825175
1237,Martignat,222139.0
1238,Massieux,394186.8556034483
1239,Massignieu-de-Rives,321785.76923076925
1240,Matafelon-Granges,146235.52142857143
1241,Meillonnas,227320.0825
1242,Mérignat,117490.0
1243,Messimy-sur-Saône,380548.9110798122
1244,Meximieux,775805.2465281385
1245,Bohas-Meyriat-Rignat,192237.72413793104
1246,Mézériat,220030.0497237569
1247,Mijoux,156032.22435897434
1248,Mionnay,1032467.5186802031
1249,Miribel,504392.3879778247
1250,Misérieux,360618.2839506173
1252,Mogneneins,268083.156626506
1254,Montagnat,379510.999253112
1255,Montagnieu,170170.00735294117
1257,Montanges,472938.19511111116
1258,Montceaux,340831.676056338
1259,Montcet,279340.8695652174
1260,Le Montellier,405743.4074074074
1261,Monthieux,414751.4411764706
1262,Montluel,231358.01525849337
1263,Montmerle-sur-Saône,277478.16836893203
1264,Montracol,285342.7438202247
1265,Montréal-la-Cluse,883051.16475
1266,Montrevel-en-Bresse,215059.57029982362
1267,Nurieux-Volognat,233783.82
1268,Murs-et-Gélignieux,228830.06451612903
1269,Nantua,185448.29855855857
1272,Neuville-les-Dames,736078.8351464435
1273,Neuville-sur-Ain,218320.41411214953
1274,Les Neyrolles,125679.68588785047
1275,Neyron,521739.49830508477
1276,Niévroz,353984.34594594594
1277,Nivollet-Montgriffon,54143.47826086957
1279,Oncieu,79821.42857142857
1280,Ordonnaz,177566.8947368421
1281,Ornex,533152.8839147593
1282,Outriaz,120118.75
1283,Oyonnax,217271.69530715287
1284,Ozan,235068.02325581395
1285,Parcieux,593726.7259259259
1286,Parves et Nattages,277418.9455223881
1288,Péron,344936.9920984081
1289,Péronnas,225541.0290800866
1290,Pérouges,307930.83902439027
1291,Perrex,283825.7727272727
1293,Peyriat,227421.05263157896
1294,Peyrieu,239825.96794871794
1295,Peyzieux-sur-Saône,262280.6451612903
1296,Pirajoux,161396.55172413794
1297,Pizay,312893.8552631579
1298,Plagne,279438.85714285716
1299,Le Plantay,378461.63265306124
1301,Polliat,281675.2052162162
1302,Pollieu,145666.66666666666
1303,Poncin,151196.35087719298
1304,Pont-d'Ain,3069673.788888889
1305,Pont-de-Vaux,201453.18773504274
1306,Pont-de-Veyle,178341.67164179104
1307,Port,928057.6666666666
1308,Pougny,418001.28571428574
1309,Pouillat,84036.66666666667
1310,Prémeyzel,176316.07142857142
1311,Prémillieu,97764.70588235294
1313,Prévessin-Moëns,591832.2578435909
1314,Priay,221821.83378378378
1317,Ramasse,251999.07407407407
1318,Rancé,361604.6296296296
1319,Relevant,296764.32692307694
1320,Replonges,255435.09224056604
1321,Revonnas,289967.0609243697
1322,Reyrieux,1082110.2671232878
1323,Reyssouze,206866.875
1325,Rignieux-le-Franc,315009.1476470588
1328,Romans,439329.34651785716
1329,Rossillon,86015.47619047618
1330,Ruffieu,120041.96296296296
1331,Saint-Alban,100373.07692307692
1332,Saint-André-de-Bâgé,242538.38648936167
1333,Saint-André-de-Corcy,372675.4474164134
1334,Saint-André-d'Huiriat,296036.27770833333
1335,Saint-André-le-Bouchoux,363855.1666666667
1336,Saint-André-sur-Vieux-Jonc,251979.26446280992
